claim_id,claim_date,sale_id,repair_status
CL_0059,15-08-2025,QX-58857,In Progress
CL_0060,10-11-2024,XF-72186,Rejected
CL_0061,08-11-2024,BR-1720,Completed
CL_0062,27-09-2024,WK-718010,Rejected
CL_0063,31-07-2025,QQ-6758,Completed
CL_0064,31-03-2025,KR-780000,Completed
CL_0065,22-12-2024,IZ-3750,Completed
CL_0066,05-08-2025,EG-585382,Completed
CL_0067,03-05-2025,BO-152001,Rejected
CL_0068,08-01-2025,AL-6857,In Progress
CL_0069,03-02-2025,MP-76212,In Progress
CL_0070,23-02-2025,DO-175848,Pending
CL_0071,02-12-2024,QQ-322305,Pending
CL_0072,01-04-2025,ND-36675,Completed
CL_0073,17-02-2025,QX-2537,In Progress
CL_0074,19-02-2025,QL-0577,In Progress
CL_0075,10-02-2025,FP-1524,Completed
CL_0076,21-04-2025,YD-8825,Rejected
CL_0077,30-01-2025,CA-81394,Pending
CL_0078,15-12-2024,GP-9857,Rejected
CL_0079,11-12-2024,CZ-42736,Pending
CL_0080,31-10-2024,ZK-689377,In Progress
CL_0081,14-04-2025,UX-052447,Pending
CL_0082,30-09-2024,HR-972432,Pending
CL_0083,28-07-2025,HE-729312,Pending
CL_0084,03-12-2024,ZY-66982,Rejected
CL_0085,24-12-2024,WL-582522,Pending
CL_0086,22-08-2025,OY-401788,Rejected
CL_0087,30-11-2024,UH-2620,Rejected
CL_0088,03-03-2025,SX-85912,Rejected
CL_0089,29-01-2025,RX-44089,Pending
CL_0090,01-11-2024,MS-91638,In Progress
CL_0091,17-03-2025,BY-024315,In Progress
CL_0092,01-06-2025,KQ-6513,In Progress
CL_0093,02-09-2025,QP-30471,Pending
CL_0094,27-02-2025,VR-88910,In Progress
CL_0095,10-03-2025,PR-33381,Rejected
CL_0096,29-10-2024,NY-5140,Completed
CL_0097,03-07-2025,WF-53076,Pending
CL_0098,06-12-2024,AI-989604,In Progress
CL_0099,03-12-2024,YJ-63116,Pending
CL_0100,26-09-2024,FT-685841,Rejected
CL_0101,05-02-2025,TZ-9153,Rejected
CL_0102,11-11-2024,VM-0931,Completed
CL_0103,26-05-2025,XU-019142,In Progress
CL_0104,29-08-2025,PT-98433,Completed
CL_0105,27-08-2025,BC-25467,Rejected
CL_0106,15-08-2025,SG-366416,Pending
CL_0107,13-09-2025,FV-48729,Pending
CL_0108,30-10-2024,GT-528241,In Progress
CL_0109,05-08-2025,ZO-17293,In Progress
CL_0110,04-09-2025,YF-07823,Rejected
CL_0111,23-08-2025,TO-4181,Completed
CL_0112,16-09-2025,SD-284152,In Progress
CL_0113,15-10-2024,UY-2304,Rejected
CL_0114,18-07-2025,BX-71084,Pending
CL_0115,25-04-2025,YR-091955,Rejected
CL_0116,15-11-2024,DN-809023,Pending
CL_0117,13-04-2025,LN-1675,Pending
CL_0118,25-01-2025,OP-960623,Pending
CL_0119,17-02-2025,GV-3429,Pending
CL_0120,25-04-2025,IS-825289,Pending
CL_0121,21-02-2025,OO-105589,In Progress
CL_0122,03-11-2024,ZE-7182,Rejected
CL_0123,11-08-2025,ZR-6837,In Progress
CL_0124,01-10-2024,NE-474345,Pending
CL_0125,17-08-2025,MV-141742,Completed
CL_0126,01-07-2025,YA-4547,Rejected
CL_0127,24-11-2024,GE-712908,Rejected
CL_0128,10-07-2025,GF-565681,Completed
CL_0129,02-11-2024,PH-567832,Pending
CL_0130,24-12-2024,CC-219606,In Progress
CL_0131,04-05-2025,KR-2499,Completed
CL_0132,27-08-2025,XG-5654,Completed
CL_0133,15-02-2025,EM-0800,Completed
CL_0134,14-10-2024,QE-1181,Rejected
CL_0135,08-09-2025,HG-8892,Rejected
CL_0136,27-08-2025,JR-28329,Completed
CL_0137,30-01-2025,SU-80086,Rejected
CL_0138,28-03-2025,HR-480222,Completed
CL_0139,20-10-2024,AF-59224,In Progress
CL_0140,05-11-2024,JA-498048,Pending
CL_0141,14-09-2025,EN-849345,In Progress
CL_0142,30-04-2025,GM-81248,In Progress
CL_0143,17-12-2024,NX-323165,Pending
CL_0144,11-03-2025,KA-2396,Rejected
CL_0145,10-04-2025,TH-28281,Rejected
CL_0146,30-03-2025,OM-6473,Rejected
CL_0147,15-01-2025,OI-7300,In Progress
CL_0148,01-11-2024,FD-014924,Pending
CL_0149,03-06-2025,MZ-2002,Rejected
CL_0150,17-12-2024,EC-7219,Rejected
CL_0151,10-03-2025,QZ-7103,In Progress
CL_0152,24-12-2024,GA-0778,Pending
CL_0153,06-10-2024,RU-24252,In Progress
CL_0154,06-06-2025,FS-812961,In Progress
CL_0155,19-02-2025,FN-234278,Completed
CL_0156,13-07-2025,RJ-2045,Completed
CL_0157,27-02-2025,NP-3712,In Progress
CL_0158,31-08-2025,XF-073014,Pending
CL_0159,28-10-2024,RF-50776,Rejected
CL_0160,18-01-2025,BB-0048,Completed
CL_0161,17-06-2025,IA-2197,Completed
CL_0162,24-03-2025,QA-66232,Rejected
CL_0163,28-12-2024,HD-580306,Pending
CL_0164,10-04-2025,QD-6256,In Progress
CL_0165,17-11-2024,QU-8503,In Progress
CL_0166,28-11-2024,TJ-962433,Completed
CL_0167,01-02-2025,EM-8330,Rejected
CL_0168,05-06-2025,IH-696225,Pending
CL_0169,13-06-2025,SN-9289,Completed
CL_0170,24-05-2025,WC-6909,In Progress
CL_0171,30-09-2024,TP-36482,Pending
CL_0172,09-01-2025,WO-3195,Pending
CL_0173,24-04-2025,SW-0599,Rejected
CL_0174,24-05-2025,BA-958773,Pending
CL_0175,31-12-2024,LL-266903,Pending
CL_0176,02-08-2025,ZD-1474,Rejected
CL_0177,20-07-2025,WE-7537,Completed
CL_0178,06-02-2025,NP-597312,Pending
CL_0179,26-08-2025,VP-27988,Pending
CL_0180,26-05-2025,VY-159053,Pending
CL_0181,27-03-2025,EL-564977,Completed
CL_0182,25-02-2025,VU-4109,Completed
CL_0183,08-01-2025,DB-13375,Pending
CL_0184,02-12-2024,OF-9723,Pending
CL_0185,25-07-2025,PM-0853,Completed
CL_0186,22-04-2025,RM-0092,Completed
CL_0187,17-07-2025,RZ-1667,Rejected
CL_0188,28-10-2024,HK-15428,Rejected
CL_0189,11-10-2024,KZ-290833,In Progress
CL_0190,14-11-2024,GD-5669,In Progress
CL_0191,08-05-2025,HO-6980,Pending
CL_0192,10-03-2025,GG-22741,Pending
CL_0193,13-07-2025,WW-5189,In Progress
CL_0194,23-07-2025,RZ-6001,Completed
CL_0195,25-11-2024,JK-3513,Pending
CL_0196,29-08-2025,DT-3413,In Progress
CL_0197,02-08-2025,OC-151464,Completed
CL_0198,14-10-2024,GE-021416,In Progress
CL_0199,07-12-2024,IF-61124,Completed
CL_0200,10-05-2025,UI-42639,Completed
CL_0201,11-04-2025,IP-75377,Rejected
CL_0202,11-01-2025,GI-09553,Completed
CL_0203,21-03-2025,OR-830552,Pending
CL_0204,28-08-2025,BV-3995,Completed
CL_0205,15-02-2025,YV-909830,Rejected
CL_0206,16-06-2025,WJ-9625,Rejected
CL_0207,17-01-2025,QF-5517,Rejected
CL_0208,21-10-2024,BJ-63497,Completed
CL_0209,07-04-2025,OM-188485,In Progress
CL_0210,14-07-2025,ZV-110363,Pending
CL_0211,07-03-2025,QL-27887,In Progress
CL_0212,12-08-2025,CB-47094,In Progress
CL_0213,28-12-2024,SL-810669,Completed
CL_0214,09-07-2025,XC-7863,Rejected
CL_0215,23-02-2025,GX-374328,Completed
CL_0216,26-05-2025,FW-83592,Pending
CL_0217,13-12-2024,PK-84091,In Progress
CL_0218,21-10-2024,CA-84666,In Progress
CL_0219,29-05-2025,ZH-96482,Completed
CL_0220,09-11-2024,SP-8536,Rejected
CL_0221,16-04-2025,US-9610,Completed
CL_0222,09-03-2025,DV-018881,Pending
CL_0223,29-11-2024,UU-77194,Rejected
CL_0224,29-07-2025,CQ-656909,Pending
CL_0225,09-02-2025,NX-136619,Rejected
CL_0226,05-08-2025,SV-619587,Rejected
CL_0227,19-01-2025,YL-9215,In Progress
CL_0228,01-03-2025,YW-425094,In Progress
CL_0229,12-11-2024,GJ-954900,Rejected
CL_0230,06-04-2025,GW-6352,Completed
CL_0231,06-09-2025,DO-33164,Pending
CL_0232,06-12-2024,YX-80556,In Progress
CL_0233,03-08-2025,PX-3377,Rejected
CL_0234,03-06-2025,QW-504535,Pending
CL_0235,01-07-2025,EK-695400,Completed
CL_0236,14-07-2025,ED-267049,Completed
CL_0237,28-12-2024,WR-54518,Pending
CL_0238,06-03-2025,AC-12122,In Progress
CL_0239,01-12-2024,SS-185412,In Progress
CL_0240,18-05-2025,OK-29904,Pending
CL_0241,08-02-2025,KC-359774,Pending
CL_0242,14-01-2025,VN-838344,In Progress
CL_0243,15-01-2025,VZ-904772,Completed
CL_0244,05-01-2025,KM-459613,In Progress
CL_0245,08-06-2025,TB-1022,In Progress
CL_0246,13-03-2025,JH-591993,In Progress
CL_0247,01-06-2025,BO-95662,Pending
CL_0248,05-05-2025,XS-1327,Rejected
CL_0249,29-12-2024,NF-37549,In Progress
CL_0250,13-11-2024,JN-20336,Rejected
CL_0251,21-09-2024,HM-8304,Rejected
CL_0252,03-08-2025,XO-28531,Rejected
CL_0253,04-08-2025,BC-179835,Completed
CL_0254,15-07-2025,YJ-161676,In Progress
CL_0255,05-11-2024,HL-8853,In Progress
CL_0256,16-02-2025,QX-1975,Pending
CL_0257,30-06-2025,PF-5527,Completed
CL_0258,30-07-2025,HL-400438,Pending
CL_0259,07-07-2025,VG-33179,Pending
CL_0260,13-05-2025,KO-642431,In Progress
CL_0261,13-05-2025,AW-73729,Rejected
CL_0262,14-10-2024,RB-616982,Completed
CL_0263,18-03-2025,RV-638982,Completed
CL_0264,27-04-2025,IT-6020,Completed
CL_0265,08-03-2025,CD-73709,Rejected
CL_0266,21-03-2025,PE-8717,Completed
CL_0267,16-07-2025,DP-41108,In Progress
CL_0268,02-11-2024,CJ-201037,Completed
CL_0269,17-09-2025,WS-6526,Completed
CL_0270,02-09-2025,AL-361544,Completed
CL_0271,23-12-2024,UO-270787,Rejected
CL_0272,04-01-2025,UF-308664,Pending
CL_0273,18-03-2025,TT-58394,Completed
CL_0274,08-07-2025,GP-74681,Completed
CL_0275,11-09-2025,SL-87160,Rejected
CL_0276,08-07-2025,CA-80103,Pending
CL_0277,15-10-2024,XR-2147,In Progress
CL_0278,25-03-2025,EO-32123,In Progress
CL_0279,10-01-2025,IO-8090,Completed
CL_0280,07-07-2025,TQ-16189,Pending
CL_0281,15-07-2025,PA-468259,Pending
CL_0282,18-07-2025,LF-1952,Pending
CL_0283,23-04-2025,NL-82205,Rejected
CL_0284,24-03-2025,ZK-1796,Pending
CL_0285,21-11-2024,GD-885107,In Progress
CL_0286,27-04-2025,CH-5906,In Progress
CL_0287,07-01-2025,YG-37379,Completed
CL_0288,14-07-2025,GB-9297,Pending
CL_0289,12-11-2024,SL-3821,Pending
CL_0290,28-06-2025,PN-3191,Completed
CL_0291,14-10-2024,XQ-02606,In Progress
CL_0292,22-10-2024,PD-24853,In Progress
CL_0293,02-10-2024,WU-355666,In Progress
CL_0294,11-04-2025,HG-2667,Rejected
CL_0295,02-04-2025,FO-9368,Completed
CL_0296,06-09-2025,DZ-793235,Pending
CL_0297,12-06-2025,PP-8889,Completed
CL_0298,29-12-2024,PA-987086,Completed
CL_0299,20-02-2025,JK-601637,Pending
CL_0300,27-10-2024,BV-18109,Pending
CL_0301,16-09-2025,PI-9855,Completed
CL_0302,08-11-2024,DA-7854,Pending
CL_0303,02-10-2024,CB-2880,In Progress
CL_0304,01-07-2025,OC-697000,In Progress
CL_0305,07-12-2024,AB-170603,In Progress
CL_0306,31-03-2025,PG-18777,Pending
CL_0307,02-03-2025,IQ-78656,Pending
CL_0308,29-09-2024,EW-778038,Completed
CL_0309,13-12-2024,IN-5581,Pending
CL_0310,30-01-2025,TD-663441,Pending
CL_0311,08-07-2025,MK-67881,In Progress
CL_0312,20-06-2025,BG-99427,Completed
CL_0313,01-12-2024,FP-2894,Rejected
CL_0314,03-10-2024,ZB-1480,Rejected
CL_0315,14-07-2025,HL-49926,Rejected
CL_0316,13-09-2025,KM-930334,Rejected
CL_0317,07-08-2025,EF-63932,In Progress
CL_0318,29-04-2025,IX-783125,Pending
CL_0319,03-07-2025,FL-8415,In Progress
CL_0320,19-10-2024,TB-21906,Completed
CL_0321,06-10-2024,MP-54660,Rejected
CL_0322,20-03-2025,CU-9933,Rejected
CL_0323,02-02-2025,KZ-6428,Rejected
CL_0324,22-12-2024,CB-0358,Completed
CL_0325,16-01-2025,UD-91063,Pending
CL_0326,22-07-2025,CV-0723,Pending
CL_0327,13-06-2025,RP-7506,Rejected
CL_0328,10-09-2025,LB-87929,In Progress
CL_0329,18-01-2025,SQ-2929,In Progress
CL_0330,18-08-2025,HY-4096,Rejected
CL_0331,17-11-2024,YC-7383,Completed
CL_0332,02-11-2024,SO-3956,In Progress
CL_0333,16-08-2025,SK-07214,Pending
CL_0334,12-02-2025,IY-6200,Pending
CL_0335,16-06-2025,HP-4784,Completed
CL_0336,16-11-2024,BP-12254,Pending
CL_0337,17-07-2025,NI-763909,In Progress
CL_0338,12-12-2024,NU-938743,Completed
CL_0339,06-08-2025,NJ-4434,Pending
CL_0340,03-04-2025,SC-48127,Pending
CL_0341,27-01-2025,TF-3941,Pending
CL_0342,06-06-2025,LN-49781,Rejected
CL_0343,08-02-2025,IB-3283,In Progress
CL_0344,13-07-2025,FA-288083,In Progress
CL_0345,31-01-2025,XN-3830,In Progress
CL_0346,09-03-2025,FS-1986,Pending
CL_0347,13-01-2025,MM-72122,Completed
CL_0348,16-07-2025,VP-898852,In Progress
CL_0349,17-06-2025,WA-278645,Rejected
CL_0350,12-05-2025,KE-020398,Completed
CL_0351,09-02-2025,CD-93520,Pending
CL_0352,06-09-2025,QG-05958,Rejected
CL_0353,18-02-2025,CW-1041,Completed
CL_0354,25-09-2024,NE-2221,Rejected
CL_0355,26-11-2024,NC-76969,In Progress
CL_0356,28-07-2025,FX-53348,Rejected
CL_0357,18-08-2025,KE-76608,In Progress
CL_0358,29-09-2024,EM-965317,Completed
CL_0359,03-11-2024,CW-1849,Completed
CL_0360,23-11-2024,UJ-2033,Rejected
CL_0361,03-11-2024,VD-430647,Rejected
CL_0362,01-09-2025,YJ-83798,Completed
CL_0363,06-03-2025,TH-393982,In Progress
CL_0364,02-07-2025,SN-188464,Pending
CL_0365,21-04-2025,JF-23090,Completed
CL_0366,10-02-2025,RL-148319,Rejected
CL_0367,20-08-2025,IC-2428,Pending
CL_0368,12-11-2024,XS-124104,In Progress
CL_0369,18-04-2025,JO-0638,Completed
CL_0370,30-07-2025,YZ-17968,Pending
CL_0371,24-11-2024,JH-7053,Rejected
CL_0372,30-04-2025,UR-23291,Completed
CL_0373,11-12-2024,DN-26736,Pending
CL_0374,24-05-2025,OQ-78770,Rejected
CL_0375,19-01-2025,JN-2988,In Progress
CL_0376,09-08-2025,AW-1813,Completed
CL_0377,11-07-2025,GT-096939,Completed
CL_0378,14-02-2025,GS-79749,In Progress
CL_0379,06-11-2024,JI-618068,Rejected
CL_0380,08-10-2024,WT-09325,Rejected
CL_0381,30-08-2025,BW-913395,In Progress
CL_0382,14-08-2025,WE-879238,Completed
CL_0383,20-09-2024,AF-9837,Rejected
CL_0384,21-02-2025,KJ-33441,Rejected
CL_0385,14-02-2025,CJ-78727,Rejected
CL_0386,31-05-2025,GC-4251,Rejected
CL_0387,01-06-2025,JQ-561175,In Progress
CL_0388,21-08-2025,UF-20512,Pending
CL_0389,28-08-2025,DU-06363,Pending
CL_0390,29-03-2025,YY-662081,Completed
CL_0391,29-04-2025,HI-2465,Completed
CL_0392,20-08-2025,PV-97639,In Progress
CL_0393,02-01-2025,ZF-222835,Pending
CL_0394,09-08-2025,LP-27226,In Progress
CL_0395,18-09-2024,LB-11365,Rejected
CL_0396,13-06-2025,WD-9658,Pending
CL_0397,07-02-2025,UT-1879,Pending
CL_0398,02-12-2024,QP-57365,Rejected
CL_0399,06-05-2025,VJ-5917,Rejected
CL_0400,28-09-2024,NP-322586,Pending
CL_0401,24-09-2024,ND-1126,Pending
CL_0402,27-01-2025,PX-117487,Completed
CL_0403,07-05-2025,AH-91541,Rejected
CL_0404,24-07-2025,EQ-274897,In Progress
CL_0405,09-07-2025,WF-57700,In Progress
CL_0406,09-12-2024,JS-564101,Completed
CL_0407,05-09-2025,LJ-5127,Completed
CL_0408,02-08-2025,RQ-25648,In Progress
CL_0409,28-07-2025,FU-55293,In Progress
CL_0410,09-12-2024,YJ-5608,Pending
CL_0411,04-08-2025,YC-98809,In Progress
CL_0412,28-04-2025,QQ-567540,Rejected
CL_0413,03-08-2025,XY-5198,Completed
CL_0414,20-12-2024,SX-567777,In Progress
CL_0415,26-01-2025,EF-17479,In Progress
CL_0416,31-10-2024,KF-24127,Completed
CL_0417,14-01-2025,HM-928215,Rejected
CL_0418,20-04-2025,HB-15004,In Progress
CL_0419,24-10-2024,BR-2865,Completed
CL_0420,09-01-2025,UY-2652,In Progress
CL_0421,04-03-2025,PL-4023,Rejected
CL_0422,19-12-2024,UM-7635,Pending
CL_0423,11-01-2025,DU-4379,Rejected
CL_0424,19-02-2025,MK-42676,Completed
CL_0425,30-06-2025,ZD-509771,Rejected
CL_0426,30-04-2025,FE-15144,Completed
CL_0427,18-08-2025,WT-237180,Completed
CL_0428,21-03-2025,IW-741978,Rejected
CL_0429,29-06-2025,AO-750018,In Progress
CL_0430,26-12-2024,OW-4183,Rejected
CL_0431,27-12-2024,CW-0222,Pending
CL_0432,02-12-2024,PL-615557,Completed
CL_0433,22-10-2024,VS-66266,Completed
CL_0434,26-08-2025,BW-9915,In Progress
CL_0435,24-04-2025,EO-26804,In Progress
CL_0436,05-12-2024,QW-7159,In Progress
CL_0437,19-07-2025,SN-38616,Pending
CL_0438,22-10-2024,NW-54037,Pending
CL_0439,15-01-2025,KT-7733,Rejected
CL_0440,12-07-2025,YA-2019,Completed
CL_0441,28-07-2025,IR-4217,Rejected
CL_0442,23-04-2025,XP-8717,In Progress
CL_0443,27-01-2025,FV-617666,In Progress
CL_0444,07-05-2025,ZR-700096,Pending
CL_0445,01-11-2024,LR-15332,In Progress
CL_0446,17-11-2024,KD-894158,Pending
CL_0447,26-07-2025,XE-94118,Rejected
CL_0448,02-12-2024,PC-96982,Pending
CL_0449,08-09-2025,XU-566938,Rejected
CL_0450,13-09-2025,YF-016569,Pending
CL_0451,20-03-2025,WH-69729,Pending
CL_0452,27-03-2025,AH-814289,Rejected
CL_0453,07-11-2024,UB-829795,Pending
CL_0454,16-12-2024,KX-076489,In Progress
CL_0455,19-08-2025,HC-783921,Pending
CL_0456,10-02-2025,UW-072583,In Progress
CL_0457,24-05-2025,WI-2429,In Progress
CL_0458,20-05-2025,SM-9523,Completed
CL_0459,20-10-2024,AQ-8362,Rejected
CL_0460,18-01-2025,ZS-8011,Rejected
CL_0461,28-05-2025,LJ-213895,Rejected
CL_0462,07-06-2025,JP-589542,In Progress
CL_0463,12-11-2024,GW-063383,Rejected
CL_0464,31-12-2024,BF-401066,Pending
CL_0465,27-09-2024,YJ-42011,Completed
CL_0466,03-12-2024,MC-6831,Rejected
CL_0467,05-03-2025,BV-810308,Pending
CL_0468,28-10-2024,FP-16113,In Progress
CL_0469,29-05-2025,NT-286308,Completed
CL_0470,22-05-2025,GN-6394,Rejected
CL_0471,06-06-2025,MJ-9867,Completed
CL_0472,26-06-2025,OS-825263,Completed
CL_0473,27-06-2025,PI-6469,Completed
CL_0474,01-09-2025,TE-0245,In Progress
CL_0475,21-01-2025,UY-6757,Completed
CL_0476,11-02-2025,GH-247240,Rejected
CL_0477,16-11-2024,ES-43685,Completed
CL_0478,10-01-2025,YW-329392,Rejected
CL_0479,04-06-2025,PG-736590,Pending
CL_0480,21-01-2025,NF-5442,Rejected
CL_0481,03-12-2024,RX-73846,Pending
CL_0482,18-11-2024,HL-6831,In Progress
CL_0483,21-02-2025,TY-900125,Pending
CL_0484,25-12-2024,JL-9252,In Progress
CL_0485,05-03-2025,LO-75350,Pending
CL_0486,20-09-2024,IR-281454,Rejected
CL_0487,05-03-2025,WA-3895,In Progress
CL_0488,11-06-2025,QC-6971,Rejected
CL_0489,05-09-2025,UF-44911,In Progress
CL_0490,05-03-2025,KD-23268,Rejected
CL_0491,24-04-2025,OE-325854,Completed
CL_0492,07-11-2024,NT-60492,Rejected
CL_0493,13-10-2024,SH-55597,In Progress
CL_0494,24-12-2024,OJ-0416,Pending
CL_0495,16-09-2025,HG-794406,Completed
CL_0496,28-10-2024,PZ-506248,Rejected
CL_0497,26-12-2024,CA-1620,Completed
CL_0498,17-03-2025,OU-3103,Completed
CL_0499,29-11-2024,ZY-38496,Completed
CL_0500,03-10-2024,LY-07865,Pending
CL_0501,02-03-2025,JH-94036,Completed
CL_0502,12-10-2024,TF-02280,Pending
CL_0503,21-09-2024,ZX-35277,Pending
CL_0504,25-01-2025,VX-021852,Completed
CL_0505,17-10-2024,LD-61683,Pending
CL_0506,26-12-2024,NQ-295779,Pending
CL_0507,26-08-2025,DM-0274,Pending
CL_0508,12-08-2025,UZ-91148,Pending
CL_0509,06-07-2025,XH-6071,Pending
CL_0510,09-08-2025,GM-864031,Pending
CL_0511,10-08-2025,QN-529407,Completed
CL_0512,07-03-2025,CO-852684,Completed
CL_0513,11-01-2025,FW-172441,Completed
CL_0514,14-06-2025,RK-63307,Pending
CL_0515,19-06-2025,UL-9897,In Progress
CL_0516,03-04-2025,BB-417970,In Progress
CL_0517,08-09-2025,HQ-7651,Completed
CL_0518,31-03-2025,EX-584184,Pending
CL_0519,17-09-2025,BV-9276,In Progress
CL_0520,06-01-2025,HX-1766,Completed
CL_0521,25-01-2025,QP-476397,Rejected
CL_0522,15-02-2025,NV-440566,In Progress
CL_0523,30-03-2025,OA-58522,Pending
CL_0524,03-04-2025,SF-01296,Pending
CL_0525,25-03-2025,AE-346058,Completed
CL_0526,18-04-2025,KD-029099,Completed
CL_0527,16-12-2024,YM-89882,Completed
CL_0528,28-01-2025,YF-162462,In Progress
CL_0529,08-05-2025,GW-7010,Rejected
CL_0530,21-10-2024,VO-22322,In Progress
CL_0531,17-08-2025,PJ-027975,Rejected
CL_0532,27-03-2025,TM-77946,In Progress
CL_0533,17-03-2025,RZ-122311,In Progress
CL_0534,02-01-2025,LC-8260,Completed
CL_0535,08-11-2024,HQ-727701,In Progress
CL_0536,28-05-2025,DF-6189,In Progress
CL_0537,25-06-2025,GJ-8584,Rejected
CL_0538,06-07-2025,HS-928066,In Progress
CL_0539,15-11-2024,JX-41905,In Progress
CL_0540,22-02-2025,CJ-93937,Completed
CL_0541,18-09-2024,NO-94555,Pending
CL_0542,07-05-2025,CQ-281325,Rejected
CL_0543,13-10-2024,DZ-94727,In Progress
CL_0544,27-03-2025,ZX-75257,Rejected
CL_0545,18-07-2025,IS-862335,Rejected
CL_0546,25-05-2025,SO-91045,Rejected
CL_0547,06-07-2025,RL-01108,Rejected
CL_0548,24-09-2024,WH-0328,Rejected
CL_0549,04-10-2024,TP-3864,Rejected
CL_0550,24-07-2025,IG-473529,Rejected
CL_0551,21-11-2024,RJ-485493,In Progress
CL_0552,23-08-2025,PZ-78756,Completed
CL_0553,17-01-2025,QD-372140,Pending
CL_0554,22-09-2024,QQ-365581,Completed
CL_0555,29-05-2025,RH-7344,Rejected
CL_0556,11-08-2025,FJ-3770,Rejected
CL_0557,20-04-2025,ZL-022321,Completed
CL_0558,30-04-2025,UP-69599,Rejected
CL_0559,10-08-2025,VI-5325,Pending
CL_0560,08-07-2025,FY-4049,Completed
CL_0561,25-10-2024,AR-48764,Pending
CL_0562,18-06-2025,XW-40840,In Progress
CL_0563,07-06-2025,YV-550685,Pending
CL_0564,02-05-2025,UH-62493,Completed
CL_0565,11-07-2025,TV-3422,Completed
CL_0566,21-04-2025,AF-274842,Completed
CL_0567,11-08-2025,AS-4925,In Progress
CL_0568,17-06-2025,WN-5429,Completed
CL_0569,26-05-2025,BA-1749,Rejected
CL_0570,03-02-2025,AM-7950,Completed
CL_0571,05-11-2024,JW-84877,Completed
CL_0572,21-07-2025,DG-9101,Pending
CL_0573,09-01-2025,GA-08277,Pending
CL_0574,20-11-2024,SM-1455,Rejected
CL_0575,21-11-2024,AW-9075,Pending
CL_0576,11-01-2025,DT-973213,Rejected
CL_0577,22-02-2025,GF-64529,Pending
CL_0578,05-04-2025,PS-9104,Completed
CL_0579,28-08-2025,CW-6164,Completed
CL_0580,26-07-2025,EF-656774,Pending
CL_0581,20-03-2025,EG-041340,Rejected
CL_0582,02-10-2024,EZ-20900,In Progress
CL_0583,18-06-2025,DE-41385,In Progress
CL_0584,19-03-2025,SK-31531,In Progress
CL_0585,17-07-2025,EG-6814,Rejected
CL_0586,11-09-2025,LG-36502,Rejected
CL_0587,23-02-2025,NL-4309,Pending
CL_0588,27-04-2025,LG-2115,Completed
CL_0589,24-12-2024,TH-0705,Completed
